PLANNING TABLE: 48m | Tx 22/27 | ZHL-16C-GF 50/80
Max bottom time (double ascent): 32'

,32',35',32',35',32',32',35',35',
,48m,48m,51m,51m,48m,48m,51m,51m,48m
,Main,Longer,Deeper,D & L,no 50,no O2,no 50,no O2,bounce

51m,,,32,35,,,35,35,
48m,32,35,,,32,32,,,10
-21m,2 (1),2 (1),2 (1),2 (1),,2 (1),39 (1),2 (1),2 (1)
-18m,37 (1),40 (1),38 (2),41 (2),36 (1),37 (1),42 (3),41 (2),
-15m,38 (1),42 (2),40 (1),44 (2),39 (3),38 (1),47 (4),44 (2),
-12m,42 (3),46 (3),44 (4),47 (3),45 (5),42 (3),54 (7),47 (3),
-9m,47 (5),52 (6),49 (5),54 (7),55 (10),47 (5),66 (12),54 (7),
*6m,53 (6),58 (6),56 (7),62 (7),62 (7),55 (8),76 (9),64 (10),16 (1)
*3m,70 (16),76 (18),73 (16),81 (19),74 (12),72 (17),92 (16),85 (20),18 (1)
*0m,70,77,73,81,75,73,92,85,18

Depth,48,48,51,51,48,48,51,51,48
Total deco,33,37,36,41,38,36,52,45,3
Runtime,70,77,73,81,75,73,92,85,18
Turn pressure,216,216,215,215,216,216,215,215,216

OTU,77,84,85,93,79,70,98,86,17
CNS %,42%,44%,47%,50%,45%,26%,57%,33%,8%
END,32m,32m,35m,35m,32m,32m,35m,35m,32m
PO2,1.28,1.28,1.34,1.34,1.28,1.28,1.34,1.34,1.28
Gas density g/L,5.05,5.05,5.31,5.31,5.05,5.05,5.31,5.31,5.05

Back gas left,80,65,71,57,49,80,13,57,181
EAN50,130,119,122,110,--,108,--,83,196
O2,185,185,182,182,158,--,145,--,197

MIN FILLS
Back gas Tx 22/27,5297L,217 bar
EAN50,1298L,117bar 11.1L,126bar 10.3L,228bar 5.7L
O2,609L,55bar 11.1L,59bar 10.3L,107bar 5.7L

ASSUMPTIONS
SAC,20 L/min (bottom),17 L/min (deco)
Descent,20 m/min
Ascent,10 m/min
Descent stop,1 min @ 5m (S-drill)
Cylinders,back 24.4L @ 230 bar,EAN50 11.1L @ 200 bar,O2 11.1L @ 200 bar
Deco switches,EAN50 @ 21m,O2 @ 6m
Last stop,3m (deco stops),6m (O2 switch)
Min gas,2-diver,1 min problem-solving at depth
Hot fill (40degC -> 18degC),back 247 bar,EAN50 215 bar,O2 215 bar
